"passer_player_id","passer_player_name","posteam","passing_plays","avg_passing_epa","passing_success_rate","avg_cpoe","avg_air_yards","avg_yac","completions","incompletions","interceptions","passing_touchdowns"
"00-0039851","D.Maye","NE",539,0.296484009996633,0.543599257884972,10.7812747390846,9.13211382113821,4.93220338983051,354,130,8,32
"00-0036264","J.Love","GB",461,0.240091863125564,0.496746203904555,5.53295734880034,8.837899543379,5.19243986254296,291,141,6,23
"00-0026498","M.Stafford","LA",617,0.229150070543831,0.53160453808752,1.59162590215946,9.13804713804714,4.7680412371134,388,198,8,48
"00-0037834","B.Purdy","SF",298,0.194468950837294,0.533557046979866,7.22850085619618,7.59859154929577,4.20812182741117,197,77,10,21
"00-0033106","J.Goff","DET",614,0.174477734113239,0.48371335504886,1.77659557743387,6.453125,6.13486005089058,393,175,8,34
"00-0033077","D.Prescott","DAL",630,0.165174175823982,0.477777777777778,2.16455712200028,8.06030150753769,5.00247524752475,404,183,10,30
"00-0035710","D.Jones","IND",409,0.139225804845638,0.496332518337408,2.29714193229062,8.04712041884817,5.14942528735632,261,113,8,19
"00-0033873","P.Mahomes","KC",537,0.12735750129926,0.478584729981378,0.336414833905581,8.1,6.01587301587302,315,174,11,23
"00-0036972","M.Jones","SF",304,0.126681702309476,0.523026315789474,3.67856692495964,7.42657342657343,4.76119402985075,201,79,6,13
"00-0034869","S.Darnold","SEA",502,0.12559773528054,0.51792828685259,5.23820176489337,7.9154334038055,5.5046439628483,323,136,14,26
"00-0034857","J.Allen","BUF",506,0.120754184779976,0.466403162055336,3.51485859142261,7.31808278867102,5.94670846394984,319,130,10,25
"00-0036442","J.Burrow","CIN",278,0.0991456405853938,0.489208633093525,4.65429821201871,7.21235521235521,4.72832369942197,173,81,5,21
"00-0039732","B.Nix","DEN",638,0.0907907423544671,0.442006269592476,-1.1956391265012,7.34369885433715,5.39432989690722,388,212,11,25
"00-0039163","C.Stroud","HOU",446,0.0871833491535668,0.455156950672646,0.357673352495988,8.10714285714286,5,273,139,8,19
"00-0039918","C.Williams","CHI",594,0.0714501910282369,0.432659932659933,-3.50543139891933,8.65724381625442,5.48787878787879,330,229,7,28
"00-0036971","T.Lawrence","JAX",600,0.0546607160733637,0.461666666666667,-1.88176378552966,8.754039497307,4.78299120234604,341,204,12,31
"00-0036389","J.Hurts","PHI",486,0.0528336304028123,0.432098765432099,3.18333108754571,9.00884955752212,4.30272108843537,294,152,6,25
"00-0032950","C.Wentz","MIN",188,0.0339291266706718,0.48936170212766,1.11124149020414,7.66666666666667,5.20909090909091,110,53,5,7
"00-0026158","J.Flacco","CIN",264,0.0324355528367685,0.458333333333333,-1.90959779545665,7.43083003952569,4.72151898734177,158,91,4,16
"00-0035228","K.Murray","ARI",177,0.0323197238742283,0.435028248587571,-0.52878065094067,5.84472049689441,4.95454545454545,110,48,3,6
"00-0023459","A.Rodgers","PIT",527,0.0267395962778104,0.430740037950664,0.0416869013491323,6.06854838709677,6.48012232415902,327,162,7,25
"00-0034796","L.Jackson","BAL",338,0.0203053663541032,0.455621301775148,1.75868267129207,8.82666666666667,5.54166666666667,192,101,7,22
"00-0036212","T.Tagovailoa","MIA",415,0.0191771446478445,0.448192771084337,2.02027069843881,6.84031413612565,5.42307692307692,260,107,15,21
"00-0036355","J.Herbert","LAC",566,0.00796174879953054,0.452296819787986,1.57492858195594,7.833984375,4.87352941176471,340,159,13,27
"00-0039917","M.Penix","ATL",290,-0.00384245885078829,0.451724137931034,-3.61966759417996,8.33333333333333,5.34939759036145,166,107,3,10
"00-0034855","B.Mayfield","TB",584,-0.00577064182038994,0.431506849315068,-2.11614655928096,8.12915129151292,5.6064139941691,343,188,11,27
"00-0032268","M.Mariota","WAS",244,-0.00771055032868731,0.471311475409836,3.19710616554533,10.1955555555556,4.59712230215827,139,79,7,11
"00-0033119","J.Brissett","ARI",530,-0.0119693328488127,0.447169811320755,1.63531999228037,7.63842975206612,4.94285714285714,315,161,8,25
"00-0040691","J.Dart","NYG",375,-0.0208015079365337,0.416,-0.193102200342891,8.20414201183432,5.375,216,117,5,15
"00-0029604","K.Cousins","ATL",281,-0.0228004829677663,0.441281138790036,-2.79932229542265,7.02631578947368,5.92168674698795,166,95,5,11
"00-0040743","T.Shough","NO",356,-0.0281048233450344,0.438202247191011,1.60817432025122,8.36111111111111,4.75565610859729,221,97,6,10
"00-0039910","J.Daniels","WAS",204,-0.0289006277242752,0.441176470588235,-2.72908712598099,7.47311827956989,5.06140350877193,114,69,3,8
"00-0039150","B.Young","CAR",506,-0.0430619795301263,0.426877470355731,0.998920477456875,6.51470588235294,5.0625,304,161,11,24
"00-0028118","T.Taylor","NYJ",147,-0.0896688255995502,0.428571428571429,-0.877602879456648,8.60902255639098,4.1375,80,48,5,6
"00-0036945","J.Fields","NYJ",233,-0.0932759394264432,0.412017167381974,-1.86883856340782,6.82673267326733,4.4921875,128,73,1,7
"00-0036898","D.Mills","HOU",169,-0.0989365194371199,0.396449704142012,-6.61342173422638,8.55345911949686,2.95604395604396,91,67,1,5
"00-0029263","R.Wilson","NYG",129,-0.12152288363754,0.364341085271318,-1.47996957695812,8.89075630252101,5.44927536231884,69,47,3,3
"00-0039376","S.Rattler","NO",272,-0.131853043039363,0.441176470588235,2.3567769965347,7.99212598425197,3.71098265895954,174,75,5,9
"00-0030565","G.Smith","LV",503,-0.146336941479028,0.421471172962227,0.70712558716257,6.19506726457399,5.67218543046358,302,127,17,20
"00-0040676","C.Ward","TEN",592,-0.191757793038772,0.368243243243243,-2.92967536107811,7.2756052141527,4.78947368421053,323,207,7,19
"00-0039923","J.McCarthy","MIN",273,-0.198190164041515,0.402930402930403,-5.72387047049378,8.81481481481481,4.94285714285714,140,91,12,13
"00-0040704","D.Gabriel","CLE",204,-0.219783228294948,0.318627450980392,-7.50705682111708,5.85869565217391,4.54545454545455,110,72,2,7
"00-0040668","S.Sanders","CLE",235,-0.298867921705053,0.336170212765957,-4.9996492648736,7.19339622641509,6.74166666666667,120,82,10,7
"00-0026158","J.Flacco","CLE",168,-0.343468260697094,0.333333333333333,-4.32581996468649,7.34591194968553,4.32258064516129,93,60,6,3
"00-0035100","J.Browning","CIN",134,-0.394704952174924,0.380597014925373,0.375705038507779,7.672,4.53086419753086,81,36,8,8
"00-0040398","B.Cook","NYJ",173,-0.395051217699571,0.312138728323699,-10.0291003045198,5.66666666666667,4.73863636363636,88,58,7,2
